run	real_pop	subset_type	percentile	p2	p1	p_perm
indbel-maybel	0.095897	whg	1.000000	indbel	maybel	0
indbel-nigbel	0.082762	whg	1.000000	indbel	nigbel	0
indbel-unibel	0.070086	whg	1.000000	indbel	unibel	0
indbel-puebel	0.065274	whg	1.000000	indbel	puebel	0
gumhon-unihon	0.051592	whg	1.000000	gumhon	unihon	0
gumhon-ranhon	0.049567	whg	1.000000	gumhon	ranhon	0
gumhon-puehon	0.049524	whg	1.000000	gumhon	puehon	0
gumhon-nighon	0.048451	whg	1.000000	gumhon	nighon	0
abehon-gumhon	0.044455	whg	1.000000	abehon	gumhon	0
maybel-nigbel	0.041363	whg	1.000000	maybel	nigbel	0
nigpan-unipan	0.035516	whg	1.000000	nigpan	unipan	0
maybel-unibel	0.030692	whg	1.000000	maybel	unibel	0
nigpan-puepan	0.027995	whg	1.000000	nigpan	puepan	0
maybel-puebel	0.028117	whg	0.999900	maybel	puebel	9.999999999998899e-5
puepan-unipan	0.012774	whg	0.999700	puepan	unipan	2.9999999999996696e-4
nigbel-puebel	0.017008	whg	0.997900	nigbel	puebel	0.0020999999999999908
nigbel-unibel	0.015483	whg	0.997200	nigbel	unibel	0.0028000000000000247
ranhon-unihon	0.0075491	whg	0.994800	ranhon	unihon	0.005199999999999982
abehon-unihon	0.0056853	whg	0.989900	abehon	unihon	0.010099999999999998
nighon-ranhon	0.0049906	whg	0.987800	nighon	ranhon	0.012199999999999989
puehon-ranhon	0.0047692	whg	0.986800	puehon	ranhon	0.01319999999999999
nighon-unihon	0.0050249	whg	0.982900	nighon	unihon	0.017100000000000004
abehon-ranhon	0.0039099	whg	0.966000	abehon	ranhon	0.03400000000000003
nighon-puehon	0.0032668	whg	0.952300	nighon	puehon	0.047699999999999965
abehon-nighon	0.0033385	whg	0.950700	abehon	nighon	0.04930000000000001
abehon-puehon	0.0029727	whg	0.948900	abehon	puehon	0.051100000000000034
puehon-unihon	0.0029258	whg	0.945400	puehon	unihon	0.05459999999999998
puebel-unibel	0.0047055	whg	0.921200	puebel	unibel	0.07879999999999998
indbel-maybel	0.094915	subset_non_diverged	1.000000	indbel	maybel	0
indbel-nigbel	0.0821	subset_non_diverged	1.000000	indbel	nigbel	0
indbel-unibel	0.069394	subset_non_diverged	1.000000	indbel	unibel	0
indbel-puebel	0.064472	subset_non_diverged	1.000000	indbel	puebel	0
gumhon-unihon	0.051028	subset_non_diverged	1.000000	gumhon	unihon	0
gumhon-ranhon	0.049076	subset_non_diverged	1.000000	gumhon	ranhon	0
gumhon-puehon	0.048967	subset_non_diverged	1.000000	gumhon	puehon	0
gumhon-nighon	0.048091	subset_non_diverged	1.000000	gumhon	nighon	0
abehon-gumhon	0.043985	subset_non_diverged	1.000000	abehon	gumhon	0
maybel-nigbel	0.040682	subset_non_diverged	1.000000	maybel	nigbel	0
nigpan-unipan	0.034922	subset_non_diverged	1.000000	nigpan	unipan	0
nigpan-puepan	0.027634	subset_non_diverged	1.000000	nigpan	puepan	0
maybel-puebel	0.027461	subset_non_diverged	1.000000	maybel	puebel	0
maybel-unibel	0.029859	subset_non_diverged	0.999800	maybel	unibel	1.9999999999997797e-4
puepan-unipan	0.01229	subset_non_diverged	0.999700	puepan	unipan	2.9999999999996696e-4
nigbel-puebel	0.016534	subset_non_diverged	0.999300	nigbel	puebel	7.000000000000339e-4
nigbel-unibel	0.015036	subset_non_diverged	0.996300	nigbel	unibel	0.0037000000000000366
ranhon-unihon	0.0068091	subset_non_diverged	0.993700	ranhon	unihon	0.006299999999999972
abehon-unihon	0.0053031	subset_non_diverged	0.986400	abehon	unihon	0.013599999999999945
nighon-ranhon	0.0047645	subset_non_diverged	0.986000	nighon	ranhon	0.014000000000000012
nighon-unihon	0.0046108	subset_non_diverged	0.973700	nighon	unihon	0.02629999999999999
puehon-ranhon	0.0041444	subset_non_diverged	0.969800	puehon	ranhon	0.030200000000000005
abehon-ranhon	0.0036855	subset_non_diverged	0.960300	abehon	ranhon	0.03969999999999996
abehon-nighon	0.003246	subset_non_diverged	0.958100	abehon	nighon	0.04190000000000005
nighon-puehon	0.0029105	subset_non_diverged	0.945200	nighon	puehon	0.05479999999999996
puehon-unihon	0.0026694	subset_non_diverged	0.937200	puehon	unihon	0.06279999999999997
abehon-puehon	0.0026316	subset_non_diverged	0.936100	abehon	puehon	0.06389999999999996
puebel-unibel	0.0043019	subset_non_diverged	0.916400	puebel	unibel	0.08360000000000001
