20625puehon	20625puehon.6.dedup.bam
18901nigpan	18901nigpan.2.dedup.bam
18158nigbel	18158nigbel.1.dedup.bam
20638puehon	20638puehon.6.dedup.bam
18226indbel	18226indbel.4.dedup.bam
20428gumhon	20428gumhon.7.dedup.bam
20478tabhon	20478tabhon.1.dedup.bam
18180puebel	18180puebel.5.dedup.bam
18429puepan	18429puepan.5.dedup.bam
17996indbel	17996indbel.6.dedup.bam
18902nigpan	18902nigpan.1.dedup.bam
18171nigbel	18171nigbel.2.dedup.bam
20761abehon	20761abehon.6.dedup.bam
27678puepan	27678puepan.2.dedup.bam
20567unihon	20567unihon.1.dedup.bam
20759abehon	20759abehon.5.dedup.bam
20601nighon	20601nighon.3.dedup.bam
18156nigbel	18156nigbel.2.dedup.bam
20568unihon	20568unihon.1.dedup.bam
PL17_120maybel	PL17_120maybel.8.dedup.bam
PL17_95maybel	PL17_95maybel.1.dedup.bam
18222indbel	18222indbel.4.dedup.bam
20644puehon	20644puehon.5.dedup.bam
PL17_121maybel	PL17_121maybel.8.dedup.bam
18447unipan	18447unipan.2.dedup.bam
16_31-40unipan	16_31-40unipan.1.dedup.bam
18903nigpan	18903nigpan.3.dedup.bam
18436nigpan	18436nigpan.1.dedup.bam
18152puebel	18152puebel.4.dedup.bam
20867abehon	20867abehon.6.dedup.bam
18905nigpan	18905nigpan.4.dedup.bam
18439unipan	18439unipan.4.dedup.bam
18912puepan	18912puepan.5.dedup.bam
18420unipan	18420unipan.6.dedup.bam
20126unibel	20126unibel.7.dedup.bam
20128unibel	20128unibel.7.dedup.bam
20603nighon	20603nighon.2.dedup.bam
20421ranhon	20421ranhon.8.dedup.bam
18441unipan	18441unipan.5.dedup.bam
18267unibel	18267unibel.8.dedup.bam
20560unihon	20560unihon.8.dedup.bam
18187nigbel	18187nigbel.1.dedup.bam
18448unipan	18448unipan.5.dedup.bam
18276unibel	18276unibel.8.dedup.bam
18161puebel	18161puebel.5.dedup.bam
20425abehon	20425abehon.8.dedup.bam
18151nigbel	18151nigbel.1.dedup.bam
18907nigpan	18907nigpan.3.dedup.bam
18185nigbel	18185nigbel.1.dedup.bam
20642gumhon	20642gumhon.4.dedup.bam
18225indbel	18225indbel.7.dedup.bam
PL17_101maybel	PL17_101maybel.1.dedup.bam
20607nighon	20607nighon.2.dedup.bam
20420gumhon	20420gumhon.8.dedup.bam
18445unipan	18445unipan.6.dedup.bam
PL17_160floflo	PL17_160floflo.1.dedup.bam
20564unihon	20564unihon.1.dedup.bam
18165nigbel	18165nigbel.1.dedup.bam
PL17_89maybel	PL17_89maybel.7.dedup.bam
18450unipan	18450unipan.3.dedup.bam
18237indbel	18237indbel.6.dedup.bam
20556puehon	20556puehon.6.dedup.bam
18238indbel	18238indbel.5.dedup.bam
18157nigbel	18157nigbel.1.dedup.bam
18454unipan	18454unipan.4.dedup.bam
18430puepan	18430puepan.4.dedup.bam
20862abehon	20862abehon.6.dedup.bam
PL17_89maybel	PL17_89maybel.1.dedup.bam
20605nighon	20605nighon.2.dedup.bam
18917puepan	18917puepan.2.dedup.bam
18429puepan	18429puepan.4.dedup.bam
20894ranhon	20894ranhon.6.dedup.bam
18195indbel	18195indbel.5.dedup.bam
17999indbel	17999indbel.8.dedup.bam
20980ranhon	20980ranhon.4.dedup.bam
18424nigpan	18424nigpan.3.dedup.bam
20613ranhon	20613ranhon.5.dedup.bam
18261unibel	18261unibel.7.dedup.bam
PL17_123maybel	PL17_123maybel.8.dedup.bam
PL17_101maybel	PL17_101maybel.7.dedup.bam
20565unihon	20565unihon.1.dedup.bam
PL17_95maybel	PL17_95maybel.7.dedup.bam
20617gumhon	20617gumhon.7.dedup.bam
18446unipan	18446unipan.2.dedup.bam
18422puepan	18422puepan.4.dedup.bam
18440unipan	18440unipan.3.dedup.bam
19881unibel	19881unibel.8.dedup.bam
20149unibel	20149unibel.7.dedup.bam
20426gumhon	20426gumhon.4.dedup.bam
