id	ena_accession	biosample_accession
17996	ERS4141229	SAMEA6375135
17997	ERS4141230	SAMEA6375136
17998	ERS4141231	SAMEA6375137
17999	ERS4141232	SAMEA6375138
18000	ERS4141233	SAMEA6375139
18195	ERS4141234	SAMEA6375140
18222	ERS4141235	SAMEA6375141
18225	ERS4141236	SAMEA6375142
18226	ERS4141237	SAMEA6375143
18227	ERS4141238	SAMEA6375144
18237	ERS4141239	SAMEA6375145
18238	ERS4141240	SAMEA6375146
20418	ERS4141241	SAMEA6375147
20419	ERS4141242	SAMEA6375148
20420	ERS4141243	SAMEA6375149
20421	ERS4141244	SAMEA6375150
20425	ERS4141245	SAMEA6375151
20426	ERS4141246	SAMEA6375152
20427	ERS4141247	SAMEA6375153
20428	ERS4141248	SAMEA6375154
20429	ERS4141249	SAMEA6375155
20430	ERS4141250	SAMEA6375156
20433	ERS4141251	SAMEA6375157
20478	ERS4141252	SAMEA6375158
20613	ERS4141253	SAMEA6375159
20615	ERS4141254	SAMEA6375160
20617	ERS4141255	SAMEA6375161
20641	ERS4141256	SAMEA6375162
20642	ERS4141257	SAMEA6375163
20643	ERS4141258	SAMEA6375164
20644	ERS4141259	SAMEA6375165
20696	ERS4141260	SAMEA6375166
20759	ERS4141261	SAMEA6375167
20761	ERS4141262	SAMEA6375168
20762	ERS4141263	SAMEA6375169
20861	ERS4141264	SAMEA6375170
20862	ERS4141265	SAMEA6375171
20864	ERS4141266	SAMEA6375172
20866	ERS4141267	SAMEA6375173
20867	ERS4141268	SAMEA6375174
20892	ERS4141269	SAMEA6375175
20893	ERS4141270	SAMEA6375176
20894	ERS4141271	SAMEA6375177
20896	ERS4141272	SAMEA6375178
20922	ERS4141273	SAMEA6375179
20923	ERS4141274	SAMEA6375180
20980	ERS4141275	SAMEA6375181
28393	ERS4141276	SAMEA6375182
PL17_160	ERS4141277	SAMEA6375183
s_tort_3	ERS4141278	SAMEA6375184
