id	label	spec	geo	Bars	Lines	Snout	Peduncle	Blue	Yellow	Orange	Tail_transparent
17996	17996indbel	ind	bel	1	0	0	0	1	0	0	1
17997	17997indbel	ind	bel	1	0	0	0	1	0	0	1
17998	17998indbel	ind	bel	1	0	0	0	1	0	0	1
17999	17999indbel	ind	bel	1	0	0	0	1	0	0	0
18000	18000indbel	ind	bel	1	0	0	0	1	0	0	0
18151	18151nigbel	nig	bel	0	0	0	0	0	0	0	0
18152	18152puebel	pue	bel	1	1	0	0	1	1	0	1
18153	18153nigbel	nig	bel	0	0	0	0	0	0	0	0
18154	18154puebel	pue	bel	1	1	0	0	1	1	0	1
18155	18155nigbel	nig	bel	0	0	0	0	1	0	0	0
18156	18156nigbel	nig	bel	0	1	0	0	0	0	0	0
18157	18157nigbel	nig	bel	0	0	0	0	0	0	0	0
18158	18158nigbel	nig	bel	0	0	0	0	0	0	0	0
18159	18159nigbel	nig	bel	0	0	0	0	0	0	0	0
18161	18161puebel	pue	bel	1	1	0	0	1	1	0	1
18162	18162nigbel	nig	bel	0	0	0	0	0	0	0	0
18163	18163unibel	uni	bel	0	1	0	1	1	1	0	1
18165	18165nigbel	nig	bel	0	0	0	0	0	0	0	0
18166	18166puebel	pue	bel	1	1	0	0	1	1	0	1
18169	18169puebel	pue	bel	1	1	0	0	1	1	0	1
18171	18171nigbel	nig	bel	0	0	0	0	0	0	0	0
18172	18172puebel	pue	bel	1	1	0	0	1	1	0	0
18174	18174puebel	pue	bel	1	1	0	0	1	1	0	1
18175	18175puebel	pue	bel	1	1	0	0	1	1	0	1
18176	18176puebel	pue	bel	1	1	0	0	1	1	0	0
18178	18178puebel	pue	bel	1	1	0	0	1	1	0	1
18179	18179puebel	pue	bel	1	1	0	1	1	1	0	1
18180	18180puebel	pue	bel	1	1	0	0	1	1	0	0
18185	18185nigbel	nig	bel	0	0	0	0	0	0	0	0
18187	18187nigbel	nig	bel	0	0	0	0	0	0	0	0
18195	18195indbel	ind	bel	1	0	0	0	1	0	0	1
18222	18222indbel	ind	bel	1	0	0	0	1	0	0	1
18225	18225indbel	ind	bel	1	0	0	0	1	0	0	1
18226	18226indbel	ind	bel	1	0	0	0	1	0	0	1
18227	18227indbel	ind	bel	1	0	0	0	1	0	0	0
18237	18237indbel	ind	bel	1	1	0	0	1	0	0	1
18238	18238indbel	ind	bel	1	0	0	0	1	0	0	0
18261	18261unibel	uni	bel	0	1	0	1	1	1	0	1
18267	18267unibel	uni	bel	0	1	0	1	1	1	0	1
18274	18274unibel	uni	bel	0	1	0	1	1	1	1	1
18276	18276unibel	uni	bel	0	1	1	1	1	1	0	1
18418	18418nigpan	nig	pan	0	0	0	0	0	0	0	1
18419	18419puepan	pue	pan	1	1	0	1	0	1	0	1
18420	18420unipan	uni	pan	0	1	1	1	0	1	0	1
18421	18421puepan	pue	pan	1	1	0	0	0	1	0	1
18422	18422puepan	pue	pan	1	1	0	0	0	1	0	1
18424	18424nigpan	nig	pan	0	0	0	0	0	0	0	0
18426	18426puepan	pue	pan	1	1	0	0	0	1	0	1
18427	18427puepan	pue	pan	1	1	0	1	0	1	0	1
18428	18428nigpan	nig	pan	0	0	0	0	0	0	0	0
18429	18429puepan	pue	pan	1	1	0	0	0	1	0	1
18430	18430puepan	pue	pan	1	1	0	0	0	1	0	1
18432	18432puepan	pue	pan	1	1	0	0	0	1	0	1
18434	18434puepan	pue	pan	1	1	0	0	0	1	0	1
18435	18435unipan	uni	pan	0	1	1	1	1	1	0	1
18436	18436nigpan	nig	pan	0	0	0	0	0	0	0	0
18439	18439unipan	uni	pan	0	1	1	1	0	1	0	1
18440	18440unipan	uni	pan	0	1	1	1	0	1	0	1
18441	18441unipan	uni	pan	0	1	1	1	0	1	0	1
18442	18442unipan	uni	pan	0	1	1	1	0	1	0	1
18445	18445unipan	uni	pan	0	1	1	1	1	1	0	1
18446	18446unipan	uni	pan	0	1	1	1	1	1	0	1
18447	18447unipan	uni	pan	0	1	1	1	1	1	0	1
18448	18448unipan	uni	pan	0	1	1	1	1	1	0	1
18450	18450unipan	uni	pan	0	1	1	1	1	1	0	1
18454	18454unipan	uni	pan	0	1	1	1	1	1	0	1
18901	18901nigpan	nig	pan	0	0	0	0	0	0	0	0
18902	18902nigpan	nig	pan	0	0	0	0	0	0	0	1
18903	18903nigpan	nig	pan	0	0	0	0	0	0	0	0
18904	18904nigpan	nig	pan	0	0	0	0	0	0	0	0
18905	18905nigpan	nig	pan	0	0	0	0	0	0	0	0
18906	18906nigpan	nig	pan	0	0	0	0	0	0	0	1
18907	18907nigpan	nig	pan	0	0	0	0	0	0	0	1
18909	18909nigpan	nig	pan	0	0	0	0	0	0	0	1
18912	18912puepan	pue	pan	1	1	0	0	0	1	0	1
18915	18915puepan	pue	pan	1	1	0	0	1	1	0	1
18917	18917puepan	pue	pan	1	1	0	0	0	1	0	0
19881	19881unibel	uni	bel	0	1	0	1	0	1	0	1
20092	20092unibel	uni	bel	0	1	0	1	1	1	0	1
20120	20120unibel	uni	bel	0	1	0	1	0	1	0	1
20126	20126unibel	uni	bel	0	1	0	1	1	1	0	1
20128	20128unibel	uni	bel	0	1	0	1	1	1	0	1
20135	20135unibel	uni	bel	0	1	0	1	0	1	0	1
20149	20149unibel	uni	bel	0	1	0	1	0	1	0	1
20418	20418gumhon	gum	hon	0	1	0	0	1	0	1	0
20419	20419gumhon	gum	hon	0	1	1	0	1	0	1	0
20420	20420gumhon	gum	hon	0	1	1	0	1	0	1	0
20421	20421ranhon	ran	hon	0	0	0	0	0	0	0	0
20425	20425abehon	abe	hon	0	0	0	0	0	1	0	0
20426	20426gumhon	gum	hon	0	1	1	0	1	0	1	0
20427	20427gumhon	gum	hon	0	1	1	0	1	0	1	0
20428	20428gumhon	gum	hon	0	1	1	0	1	0	1	0
20429	20429ranhon	ran	hon	0	1	1	0	1	1	0	0
20430	20430ranhon	ran	hon	0	1	1	0	1	1	0	0
20433	20433abehon	abe	hon	0	0	0	0	0	1	0	0
20551	20551puehon	pue	hon	1	1	0	0	1	1	0	1
20552	20552puehon	pue	hon	1	1	0	0	1	1	0	1
20553	20553puehon	pue	hon	1	1	0	0	1	1	0	1
20554	20554puehon	pue	hon	1	1	0	0	1	1	0	1
20555	20555puehon	pue	hon	1	1	0	0	1	1	0	1
20556	20556puehon	pue	hon	1	1	0	0	1	1	0	1
20558	20558puehon	pue	hon	1	1	0	0	1	1	0	1
20559	20559puehon	pue	hon	1	1	0	0	1	1	0	1
20560	20560unihon	uni	hon	0	1	0	1	1	1	0	1
20561	20561unihon	uni	hon	0	1	0	1	1	1	0	1
20562	20562unihon	uni	hon	0	1	0	1	1	1	0	1
20563	20563unihon	uni	hon	0	1	0	1	1	1	0	1
20564	20564unihon	uni	hon	0	1	0	1	1	1	0	1
20565	20565unihon	uni	hon	0	1	0	1	1	1	0	1
20566	20566unihon	uni	hon	0	1	0	1	1	1	0	1
20567	20567unihon	uni	hon	0	1	0	1	1	1	0	1
20568	20568unihon	uni	hon	0	1	0	1	1	1	0	1
20571	20571unihon	uni	hon	0	1	0	1	1	1	0	1
20572	20572unihon	uni	hon	0	1	0	1	1	1	0	1
20599	20599nighon	nig	hon	0	0	0	0	1	0	0	0
20600	20600nighon	nig	hon	0	0	0	0	0	0	0	0
20601	20601nighon	nig	hon	0	0	0	0	0	0	0	0
20602	20602nighon	nig	hon	0	0	0	0	0	0	0	0
20603	20603nighon	nig	hon	0	0	0	0	0	0	0	0
20604	20604nighon	nig	hon	0	0	0	0	0	0	0	0
20605	20605nighon	nig	hon	0	0	0	0	0	0	0	0
