CHROM	avg_rho	LENGTH	r30k
LG01	746	25890264	2.4e-10
LG02	740	31702000	1.95e-10
LG03	769	23122023	2.77e-10
LG04	749	25000711	2.5e-10
LG05	826	20912025	3.29e-10
LG06	767	24210077	2.64e-10
LG07	787	24100755	2.7200000000000004e-10
LG08	648	27000498	2e-10
LG09	712	27186781	2.1800000000000002e-10
LG10	790	21876389	3.01e-10
LG11	798	21320898	3.12e-10
LG12	761	25506241	2.49e-10
LG13	747	26810734	2.3199999999999997e-10
LG14	824	22338278	3.0699999999999997e-10
LG15	777	21633613	2.99e-10
LG16	788	24734982	2.65e-10
LG17	752	28429713	2.2000000000000002e-10
LG18	834	19773282	3.51e-10
LG19	784	27051319	2.42e-10
LG20	771	24942031	2.58e-10
LG21	820	20142184	3.39e-10
LG22	843	13699534	5.13e-10
LG23	827	17761902	3.88e-10
LG24	816	14503443	4.69e-10
