pop1	pop2
abehon	gumhon
abehon	indbel
gumhon	indbel
abehon	maybel
gumhon	maybel
indbel	maybel
abehon	nigbel
gumhon	nigbel
indbel	nigbel
maybel	nigbel
abehon	nighon
gumhon	nighon
indbel	nighon
maybel	nighon
nigbel	nighon
abehon	nigpan
gumhon	nigpan
indbel	nigpan
maybel	nigpan
nigbel	nigpan
nighon	nigpan
abehon	puebel
gumhon	puebel
indbel	puebel
maybel	puebel
nigbel	puebel
nighon	puebel
nigpan	puebel
abehon	puehon
gumhon	puehon
indbel	puehon
maybel	puehon
nigbel	puehon
nighon	puehon
nigpan	puehon
puebel	puehon
abehon	puepan
gumhon	puepan
indbel	puepan
maybel	puepan
nigbel	puepan
nighon	puepan
nigpan	puepan
puebel	puepan
puehon	puepan
abehon	ranhon
gumhon	ranhon
indbel	ranhon
maybel	ranhon
nigbel	ranhon
nighon	ranhon
nigpan	ranhon
puebel	ranhon
puehon	ranhon
puepan	ranhon
abehon	unibel
gumhon	unibel
indbel	unibel
maybel	unibel
nigbel	unibel
nighon	unibel
nigpan	unibel
puebel	unibel
puehon	unibel
puepan	unibel
ranhon	unibel
abehon	unihon
gumhon	unihon
indbel	unihon
maybel	unihon
nigbel	unihon
nighon	unihon
nigpan	unihon
puebel	unihon
puehon	unihon
puepan	unihon
ranhon	unihon
unibel	unihon
abehon	unipan
gumhon	unipan
indbel	unipan
maybel	unipan
nigbel	unipan
nighon	unipan
nigpan	unipan
puebel	unipan
puehon	unipan
puepan	unipan
ranhon	unipan
unibel	unipan
unihon	unipan
