task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
61	d5/420a26	705459	split_samples (61)	COMPLETED	0	2018-08-27 17:37:21.582	9m 56s	8m 24s	334.6%	6.5 GB	27.1 GB	10 GB	11.3 GB
37	43/622d01	705449	split_samples (37)	COMPLETED	0	2018-08-27 17:37:19.029	13m 44s	12m 54s	324.0%	6.9 GB	27.1 GB	14.2 GB	16.2 GB
39	1c/c6eaf3	705437	split_samples (39)	COMPLETED	0	2018-08-27 17:37:17.624	18m 50s	18m 3s	673.6%	7.2 GB	27.1 GB	18.7 GB	21.4 GB
43	14/4a28dc	705465	split_samples (43)	COMPLETED	0	2018-08-27 17:37:24.323	22m 48s	21m 43s	621.4%	7.6 GB	27.1 GB	30.1 GB	34.6 GB
60	05/411623	705461	split_samples (60)	COMPLETED	0	2018-08-27 17:37:21.812	23m 25s	21m 47s	361.9%	6.5 GB	27.1 GB	21 GB	24.3 GB
14	b8/560d9e	705457	split_samples (14)	COMPLETED	0	2018-08-27 17:37:21.352	23m 46s	22m 7s	329.5%	7.3 GB	27.1 GB	22.3 GB	25.5 GB
32	a7/602756	705439	split_samples (32)	COMPLETED	0	2018-08-27 17:37:17.843	24m 39s	23m 43s	1288.5%	7.2 GB	27.1 GB	23.2 GB	26.6 GB
38	12/a296cc	705460	split_samples (38)	COMPLETED	0	2018-08-27 17:37:21.697	24m 36s	23m 2s	569.1%	7.4 GB	27.1 GB	21.8 GB	25 GB
16	8a/bd66c4	705445	split_samples (16)	COMPLETED	0	2018-08-27 17:37:18.568	24m 49s	23m 50s	631.1%	7.1 GB	27.1 GB	22.8 GB	26.1 GB
54	95/b70103	705442	split_samples (54)	COMPLETED	0	2018-08-27 17:37:18.178	24m 54s	24m 6s	1008.0%	7 GB	27.1 GB	22.1 GB	25.5 GB
5	22/94a748	705440	split_samples (3)	COMPLETED	0	2018-08-27 17:37:17.955	25m 19s	24m 39s	491.9%	7.2 GB	27.1 GB	31.5 GB	35.9 GB
22	17/88b74e	705441	split_samples (22)	COMPLETED	0	2018-08-27 17:37:18.067	25m 59s	25m 18s	406.2%	7.1 GB	27.1 GB	24.4 GB	27.9 GB
53	18/83cc55	705454	split_samples (53)	COMPLETED	0	2018-08-27 17:37:20.156	26m 12s	25m 3s	296.3%	7.1 GB	27.1 GB	22.5 GB	25.9 GB
46	6f/465756	705451	split_samples (46)	COMPLETED	0	2018-08-27 17:37:19.274	26m 18s	25m 6s	265.4%	6.7 GB	27.1 GB	22.2 GB	25.6 GB
