Loci	LG	cM
24844	I	1.00
52445	I	1.00
40701	I	2.10
39141	I	2.10
31052	I	3.16
62954	I	3.16
16926	I	6.33
14671	I	6.33
53000	I	6.33
58859	I	6.33
34862	I	6.33
48490	I	6.33
15966	I	7.35
48074	I	7.35
52450	I	7.35
15814	I	9.46
18931	I	12.60
14235	I	12.60
17305	I	12.60
57631	I	12.60
20322	I	12.60
7868	I	18.61
29584	I	18.61
52574	I	18.61
57529	I	21.62
33315	I	21.62
55570	I	21.62
57821	I	21.62
47800	I	21.62
48849	I	24.20
63901	I	24.20
14842	I	24.20
51384	I	24.20
57703	I	24.20
62527	I	24.20
16788	I	24.20
30450	I	24.20
51164	I	24.20
34433	I	24.20
22022	I	25.42
22977	I	30.40
7740	I	31.61
6211	I	31.61
13670	I	31.61
2752	I	33.73
7618	I	34.78
20712	I	34.78
37015	I	34.78
10122	I	34.78
1870	I	34.78
21743	I	35.79
57517	I	35.79
25650	I	35.79
19187	I	35.79
18357	I	36.85
43391	I	36.85
37389	I	38.91
6317	I	39.97
38360	I	39.97
31285	I	39.97
26516	I	39.97
48091	I	39.97
63345	I	42.09
65531	I	42.09
46493	II	1.00
35251	II	1.00
2546	II	1.00
52728	II	1.00
52074	II	1.00
4598	II	2.05
1457	II	2.05
32184	II	2.05
43279	II	2.05
55248	II	2.05
57471	II	2.05
28537	II	2.05
5035	II	2.05
7075	II	2.05
47477	II	2.05
56663	II	2.05
24748	II	2.05
38675	II	4.14
33564	II	5.40
36263	II	5.40
16737	II	7.97
25812	II	10.54
37684	II	10.54
34021	II	10.54
39274	II	10.54
65382	II	14.75
13564	II	14.75
40267	II	14.75
8954	II	16.07
46272	II	16.07
52212	II	20.02
55035	II	20.02
14515	II	22.12
62229	II	22.12
1789	II	22.12
2557	II	24.24
63496	II	25.28
34795	II	26.34
56494	II	26.34
49154	II	26.34
27343	II	26.34
32811	II	26.34
41593	II	26.34
17382	II	26.34
63932	II	26.34
57280	II	26.34
32118	II	26.34
21146	II	26.34
35582	II	29.88
33653	II	31.63
22526	II	31.63
48186	II	31.63
1799	II	32.68
39056	II	32.68
51500	II	32.68
5826	II	32.68
24765	II	34.79
34985	II	34.79
27446	II	34.79
21746	II	34.79
38129	II	34.79
54963	II	36.02
57258	II	38.50
51064	II	40.99
5909	II	43.19
59221	II	46.40
5054	II	46.40
59676	II	46.40
58879	II	49.07
16912	II	49.07
17038	II	50.54
52304	II	51.59
13546	II	51.59
4859	II	53.72
64470	II	53.72
59448	II	53.72
34808	II	53.72
52325	III	1.00
41637	III	1.00
35485	III	1.00
27877	III	4.30
51180	III	4.30
51379	III	5.35
19455	III	9.19
21862	III	13.03
2873	III	13.03
54656	III	13.03
1478	III	13.03
49711	III	13.03
43056	III	13.03
53672	III	13.03
55881	III	14.08
57706	III	14.08
40606	III	17.29
22455	III	17.29
9967	III	17.29
48770	III	18.36
30331	III	18.36
32921	III	18.36
25398	III	18.36
61228	III	18.83
59184	III	18.83
5688	III	19.91
19101	III	20.50
21463	III	20.50
17385	III	20.50
22398	III	20.50
48819	III	20.50
34024	III	24.71
27155	III	24.71
51794	III	24.71
58272	III	24.71
29470	III	24.71
18669	III	24.71
46304	III	24.71
32349	III	24.71
19859	III	24.71
58778	III	24.71
5698	III	24.71
56081	III	24.71
43117	III	24.71
59670	III	24.71
28154	III	24.71
25135	III	24.71
37007	III	24.71
5049	III	25.77
21326	III	25.77
34199	III	25.77
44718	III	25.77
20856	III	27.89
41470	III	27.89
23190	III	29.98
56547	III	29.98
52944	III	29.98
58052	III	31.04
61608	III	31.04
29465	III	32.10
38206	III	32.10
12205	III	33.16
9067	III	36.33
8987	III	36.33
32524	III	36.33
52205	III	36.33
54304	III	36.33
12744	III	38.44
45840	III	38.44
38384	III	38.44
31686	III	40.97
3303	III	40.97
14848	III	44.77
58572	III	51.63
64160	III	51.63
21361	IV	1.00
17218	IV	1.00
9847	IV	1.00
33069	IV	1.00
17644	IV	1.00
26235	IV	1.00
39859	IV	1.00
38803	IV	2.52
36814	IV	2.52
19950	IV	7.83
41929	IV	7.83
41660	IV	7.83
58065	IV	9.94
9191	IV	9.94
52713	IV	9.94
52852	IV	9.94
29565	IV	11.21
49272	IV	12.47
49106	IV	17.64
1591	IV	18.97
62092	IV	18.97
58270	IV	18.97
3121	IV	18.97
7966	IV	18.97
16344	IV	18.97
12055	IV	18.97
58738	IV	22.13
21447	IV	22.13
8472	IV	22.13
64214	IV	22.13
46993	IV	22.13
42964	IV	23.09
12108	IV	23.09
59087	IV	24.05
35237	IV	24.05
13306	IV	24.05
35047	IV	24.05
57071	IV	24.05
5982	IV	24.05
13667	IV	24.05
29937	IV	24.05
63398	IV	25.10
60067	IV	25.10
12314	IV	26.16
42294	IV	27.22
32270	IV	28.24
11189	IV	28.24
24381	IV	28.24
43595	IV	31.08
65112	IV	31.08
2998	IV	32.50
15623	IV	32.50
10720	IV	33.57
27381	IV	33.57
59249	IV	36.44
17936	IV	41.78
13685	IV	41.78
54006	IV	41.78
51561	IV	43.89
33304	IV	43.89
56426	IV	46.00
31130	IV	47.70
24691	IV	50.00
40371	IV	50.00
47142	IV	54.22
26685	IV	55.38
2913	IV	55.38
57430	IV	55.38
21800	IV	55.38
40790	V	1.00
35584	V	1.00
20054	V	3.28
16764	V	3.28
13488	V	3.28
15453	V	3.28
27562	V	3.28
54877	V	3.28
30099	V	4.37
3643	V	4.37
18196	V	4.37
5384	V	4.37
52076	V	5.43
7656	V	5.43
10973	V	6.48
20691	V	6.48
17413	V	7.54
58014	V	8.59
63652	V	8.59
64854	V	10.01
59678	V	10.01
62448	V	10.01
31380	V	12.81
26909	V	12.81
13824	V	12.81
53049	V	12.81
7527	V	13.84
30179	V	13.84
35374	V	13.84
12088	V	13.84
35109	V	15.51
29348	V	17.18
37069	V	17.18
35095	V	17.18
48073	V	17.18
49741	V	17.18
60609	V	18.24
3341	V	18.24
5740	V	18.24
10186	V	19.29
32143	V	20.35
58194	V	21.40
37786	V	21.40
56239	V	21.40
62663	V	21.40
19109	V	25.07
17994	V	25.07
22782	V	25.07
17389	V	26.26
62133	V	26.26
10609	V	28.90
47696	V	35.71
4950	V	35.71
63285	V	35.71
55303	V	35.71
54389	V	35.71
63326	V	35.71
55371	V	42.39
15061	V	43.73
39102	V	44.78
30309	V	44.78
4394	V	44.78
32071	V	44.78
62336	V	49.09
20541	V	49.09
1881	VI	1.00
21433	VI	1.00
40653	VI	1.00
39854	VI	1.00
33257	VI	2.05
29363	VI	3.11
30067	VI	3.11
26140	VI	3.11
22283	VI	3.11
61802	VI	5.52
48746	VI	10.38
52408	VI	10.38
62257	VI	10.38
22379	VI	10.38
3119	VI	10.38
54821	VI	10.38
55524	VI	11.58
10615	VI	11.58
6993	VI	11.58
52369	VI	11.58
47322	VI	13.85
10995	VI	16.12
55625	VI	16.12
63284	VI	16.12
15455	VI	17.18
53730	VI	18.24
62415	VI	19.20
14472	VI	19.20
40196	VI	19.20
58915	VI	20.25
19082	VI	20.25
17818	VI	20.25
3539	VI	21.20
1970	VI	21.20
36139	VI	21.20
18468	VI	21.20
2305	VI	24.03
51878	VI	24.03
58672	VI	25.44
43240	VI	25.44
3354	VI	26.49
63435	VI	26.49
50203	VI	26.49
29070	VI	26.49
3585	VI	26.49
21097	VI	27.51
3406	VI	41.53
50280	VI	42.64
38636	VI	43.78
38132	VI	44.83
13785	VI	46.03
30519	VI	48.45
1797	VI	48.45
65349	VI	48.45
42376	VI	53.14
5670	VI	53.14
36588	VI	53.14
8581	VII	1.00
20598	VII	1.00
59031	VII	1.00
41801	VII	1.00
32822	VII	2.05
34827	VII	2.05
40603	VII	2.05
17908	VII	7.33
43507	VII	7.33
14939	VII	10.50
14739	VII	10.50
40897	VII	12.60
12413	VII	12.60
18018	VII	14.70
1038	VII	14.70
56336	VII	14.70
3165	VII	14.70
52625	VII	14.70
2951	VII	14.70
29785	VII	14.70
63630	VII	16.10
26223	VII	18.92
48583	VII	18.92
30548	VII	18.92
51002	VII	21.04
33912	VII	21.04
62377	VII	23.17
21827	VII	24.77
43562	VII	24.77
4121	VII	24.77
4952	VII	24.77
36159	VII	26.35
52234	VII	26.35
46426	VII	26.35
20627	VII	26.35
65261	VII	26.35
52323	VII	26.35
50122	VII	26.35
50030	VII	28.49
6639	VII	30.62
3838	VII	30.62
6163	VII	30.62
31325	VII	30.62
38670	VII	30.62
52836	VII	30.62
39957	VII	31.67
61396	VII	31.67
43718	VII	31.67
40657	VII	31.67
1975	VII	31.67
38738	VII	31.67
61683	VII	31.67
54879	VII	31.67
41971	VII	31.67
49096	VII	31.67
36292	VII	31.67
61289	VII	31.67
14784	VII	31.67
5352	VII	31.67
35699	VII	32.72
52740	VII	32.72
56330	VII	32.72
37490	VII	32.72
46220	VII	32.72
38199	VII	32.72
14167	VII	32.72
18419	VII	32.72
56524	VII	33.78
27631	VII	33.78
24768	VII	34.84
3003	VII	34.84
1015	VII	34.84
34083	VII	35.88
16293	VII	41.24
53921	VII	41.24
35184	VII	41.24
56350	VII	41.24
31559	VII	41.24
2587	VII	41.24
51539	VII	43.40
41733	VII	45.57
17782	VII	45.57
1622	VII	45.57
35043	VII	46.42
47636	VII	46.42
44181	VIII	1.00
21917	VIII	1.00
54059	VIII	1.00
37291	VIII	2.06
5107	VIII	5.17
40605	VIII	5.17
54793	VIII	9.14
23212	VIII	12.23
49610	VIII	19.34
37040	VIII	26.64
12700	VIII	27.82
31550	VIII	27.82
38376	VIII	27.82
7686	VIII	27.82
21989	VIII	27.82
37199	VIII	27.82
52565	VIII	27.82
57693	VIII	27.82
56407	VIII	28.87
33839	VIII	28.87
35620	VIII	28.87
39016	VIII	29.92
6044	VIII	29.92
48153	VIII	29.92
48469	VIII	29.92
19161	VIII	29.92
1957	VIII	29.92
57891	VIII	29.92
49187	VIII	29.92
30818	VIII	29.92
18330	VIII	29.92
62535	VIII	29.92
34451	VIII	29.92
31294	VIII	29.92
49942	VIII	29.92
57822	VIII	29.92
11242	VIII	29.92
17043	VIII	31.55
62824	VIII	34.93
51317	VIII	37.41
35046	VIII	40.76
24532	VIII	41.89
12783	VIII	41.89
2405	IX	1.00
55990	IX	1.00
4283	IX	1.00
21449	IX	1.00
58058	IX	1.00
63831	IX	3.00
34674	IX	3.87
17726	IX	3.87
5492	IX	6.00
25837	IX	6.00
27568	IX	6.00
23830	IX	7.04
47003	IX	7.04
45571	IX	11.29
52891	IX	12.33
47588	IX	12.33
13541	IX	12.33
3016	IX	17.98
21903	IX	19.84
37611	IX	19.84
20517	IX	19.84
45387	IX	19.84
62938	IX	19.84
19300	IX	21.96
46525	IX	23.02
2469	IX	23.02
51326	IX	23.02
11841	IX	23.02
55962	IX	24.07
58466	IX	26.20
17987	IX	26.20
56974	IX	26.20
18401	IX	27.25
34053	IX	27.25
8318	IX	28.29
42617	IX	28.29
2599	IX	28.29
25785	IX	31.04
20568	IX	31.04
34116	IX	31.04
24232	IX	31.04
4865	IX	31.04
22277	IX	31.04
50711	IX	31.04
53770	IX	31.04
0	IX	31.04
17023	IX	32.90
52755	IX	32.90
16809	IX	36.53
53288	IX	37.87
37721	IX	37.87
37308	IX	38.92
53459	IX	38.92
65218	IX	38.92
49622	IX	38.92
28274	IX	38.92
6110	IX	41.03
50090	IX	41.03
52479	IX	41.03
38379	IX	41.03
48353	IX	42.08
62280	IX	43.53
28349	IX	48.78
2968	IX	50.65
9921	IX	50.65
26701	IX	50.65
30160	IX	50.65
22472	IX	50.65
61762	IX	50.65
61748	IX	50.65
28091	IX	50.65
41256	IX	51.49
9616	X	1.00
9891	X	1.00
50957	X	1.00
45491	X	1.00
31913	X	1.00
19184	X	2.08
47305	X	2.08
17652	X	4.21
53275	X	8.57
48601	X	8.57
29010	X	8.57
29522	X	8.57
42879	X	10.70
56760	X	10.70
43012	X	10.70
63771	X	10.70
21668	X	12.45
4138	X	12.45
31308	X	12.45
17091	X	12.45
39353	X	15.99
37756	X	15.99
4360	X	15.99
5402	X	17.04
11815	X	17.04
26498	X	17.04
24226	X	17.04
65506	X	17.04
13092	X	17.49
40511	X	17.49
13440	X	18.56
38941	X	19.17
33604	X	19.17
12911	X	19.17
1712	X	20.22
60942	X	23.40
31195	X	23.40
55428	X	23.40
57767	X	24.45
2006	X	26.57
