Loci	LG	bp
10	LG17	5988742
688	LG14	5212506
746	LG21	16052270
1015	LG07	16388273
1038	LG07	2923150
1107	LG19	26521901
1121	LG13	23217281
1202	LG18	10337215
1457	LG02	4575211
1478	LG03	5577697
1591	LG04	15809253
1609	LG16	12463019
1622	LG07	21568769
1638	LG18	5573258
1712	LG10	11950645
1715	LG13	129932
1748	LG23	14687676
1789	LG02	18827719
1797	LG06	23439774
1799	LG02	27304020
1800	LG15	1544936
1870	LG01	16847077
1881	LG06	366565
1890	LG14	6898888
1939	LG23	1088665
1957	LG08	16495685
1970	LG06	12783006
1975	LG07	15975579
2006	LG10	12758563
2062	LG18	166828
2070	LG13	15124156
2305	LG06	15428904
2325	LG19	14994444
2405	LG09	152194
2424	LG11	12814210
2448	LG11	3076640
2451	LG24	9732612
2453	LG18	2039352
2469	LG09	11281318
2509	LG12	11328839
2525	LG12	20066401
2546	LG02	186410
2557	LG02	20727173
2574	LG11	14552704
2584	LG24	14346663
2587	LG07	20064518
2599	LG09	13184424
2627	LG11	303831
2647	LG17	26553058
2687	Contig11715	69215
2752	LG01	15772569
2789	LG12	1308179
2873	LG03	8806863
2951	LG07	3759159
2968	LG09	25818305
2998	LG04	22764401
3003	LG07	16496749
3009	LG16	12747715
3016	LG09	5798508
3058	LG16	23979287
3119	LG06	6535093
3121	LG04	15747599
3129	LG13	8808418
3165	LG07	3286414
3205	LG20	14268527
3235	LG12	22076768
3303	LG03	21901135
3341	LG05	10363311
3354	LG06	17921302
3360	LG22	5004259
3397	LG23	8808236
3406	LG06	22403771
3420	LG17	27826001
3433	LG22	4829754
3460	LG10	17339064
3492	LG18	6956990
3539	LG06	12960218
3576	LG12	21345946
3585	LG06	19798706
3614	LG11	188033
3643	LG05	6203024
3685	LG14	4889942
3739	LG06	16134237
3782	LG10	17828255
3785	LG16	23886701
3838	LG07	16388195
3853	LG18	7590932
3863	LG13	603018
3980	LG15	7130286
4004	LG21	7439960
4115	LG19	22156431
4121	LG07	5705209
4138	LG10	6540609
4187	LG11	3637103
4273	LG19	7531961
4283	LG09	185572
4302	LG14	12628083
4357	LG19	2539305
4360	LG10	7383496
4391	LG18	643870
4394	LG05	18944048
4455	LG20	9716674
4469	LG22	157997
4598	LG02	6035464
4635	LG12	5128709
4749	LG17	16339413
4785	LG12	7386758
4808	Contig349594	36
4816	LG13	5673367
4848	LG14	19053649
4859	LG02	31294159
4865	LG09	15572829
4950	LG05	17445714
4952	LG07	6085043
5035	LG02	3873872
5049	LG03	16424187
5052	LG17	14981776
5054	LG02	30303022
5107	LG08	26446098
5266	LG21	5283963
5352	LG07	13052990
5384	LG05	2006784
5388	LG10	18551189
5402	LG10	9135122
5492	LG09	2110006
5535	LG15	20342733
5636	LG21	17841588
5639	LG24	10201535
5670	LG06	23850375
5682	LG23	7193036
5688	LG03	12129281
5698	LG03	14077579
5740	LG05	10593913
5822	LG19	16148916
5826	LG02	26904062
5872	LG13	26474859
5909	LG02	29834015
5926	LG19	7946508
5963	LG24	13803900
5982	LG04	18460269
6038	LG19	9603269
6044	LG08	23089671
6063	LG14	20225741
6110	LG09	21575867
6163	LG07	10970348
6183	LG11	3238772
6190	LG17	4141004
6211	LG01	15248370
6219	LG20	6391048
6317	LG01	22780898
6332	LG23	4953133
6389	LG19	2047241
6403	LG14	16086410
6443	LG10	20037564
6468	LG10	21388094
6547	LG11	5868055
6586	LG12	9150352
6639	LG07	9840844
6737	LG06	18411701
6954	LG16	10270985
6993	LG06	7179090
7075	LG02	4526182
7085	LG18	15185970
7123	LG14	19285255
7283	LG17	22995560
7354	LG11	1380486
7402	LG19	26200165
7402	LG19	23954644
7514	LG19	9417944
7527	LG05	5984912
7532	LG14	13887212
7564	LG13	24938328
7618	LG01	14679945
7669	LG22	11663773
7686	LG08	22541272
7689	LG14	2199589
7734	LG11	7643644
7740	LG01	14428517
7868	LG01	3319940
7917	Contig12259	8282
7963	LG16	4767279
7966	LG04	16143173
8000	LG13	4606279
8034	LG24	2210429
8117	LG16	10608730
8193	LG14	14665545
8244	LG11	9119584
8318	LG09	13202865
8395	LG24	13713600
8417	LG12	22858533
8461	LG17	18195563
8472	LG04	17972297
8523	LG13	8905500
8581	LG07	63285
8740	LG21	19479421
8795	LG17	11218195
8831	LG13	16893888
8890	LG16	1955081
8954	LG02	18897820
8987	LG03	20798826
9067	LG03	20902432
9155	LG14	3374195
9187	LG11	4571786
9191	LG04	9842757
9232	LG16	19646959
9234	LG23	15272296
9249	LG12	5681304
9277	LG18	7778051
9301	LG20	19264363
9336	LG10	14308864
9337	LG22	5973778
9494	Contig127586	544
9494	LG18	18334297
9616	LG10	51469
9642	LG18	7245297
9644	LG17	26075022
9819	LG16	13461874
9847	LG04	3419105
9921	LG09	25188483
9967	LG03	7833460
10025	LG17	1788578
10040	LG24	12826799
10122	LG01	18711962
10142	LG19	20581811
10142	LG19	20579217
10167	LG14	3807330
10186	LG05	10983022
10197	LG15	2317909
10208	LG18	11158792
10218	LG16	8884642
10224	LG13	2458394
10245	LG18	14161228
10372	LG20	21876704
10490	LG20	20894481
10609	LG05	14770045
10615	LG06	9400432
10720	LG04	22320847
10843	LG11	6374473
10973	LG05	3903536
10995	LG06	11309173
10996	LG19	2773825
10999	LG24	11303338
11012	LG23	5577909
11186	LG16	6742858
11189	LG04	21169480
11242	LG08	20047669
11271	LG14	286565
11277	LG19	20850529
11289	LG17	18921607
11385	LG21	16988132
11399	LG10	16747217
11636	LG14	12867217
11718	LG14	8674892
11770	LG16	18228964
11815	LG10	8497720
11841	LG09	10261906
11953	LG12	21362664
11967	LG12	12574328
11967	LG16	22441776
12055	LG04	16005600
12088	LG05	6437660
12108	LG04	20342564
12141	LG19	1371529
12205	LG03	19896216
12222	LG16	23527799
12307	LG22	5126311
12314	LG04	20904430
12413	LG07	2561323
12700	LG08	20874259
12744	LG03	21338698
12783	LG08	368822
12892	LG11	9746469
12911	LG10	11618667
12935	LG23	11505020
12943	LG20	12890785
12977	LG19	2979304
13060	LG14	2199667
13092	LG10	9052150
13121	LG24	1281559
13182	LG20	12564585
13183	LG23	15410739
13191	LG13	26374004
13257	LG16	23800114
13288	LG19	4968230
13306	LG04	18707393
13345	LG20	3602960
13379	LG11	12526
13440	LG10	11047126
13488	LG05	1638687
13541	LG09	3883062
13564	LG02	13901929
13657	Contig114	11969
13657	Contig156	5165
13657	Contig12597	979
13657	Contig12597	556
13657	LG23	9003423
13657	Contig12597	130
13657	Contig395468	1033
13657	Contig300504	2799
13657	Contig12597	1404
13657	Contig75	141584
13657	Contig994	1249
13657	Contig15125	327
13657	Contig661	2025
13657	Contig13313	468
13657	Contig8219	638
13657	Contig151	5369
13657	Contig661	2450
13657	Contig105	14806
13657	Contig114	22744
13657	Contig204160	447
13657	Contig245	380
13657	Contig211	2419
13657	Contig661	4167
13657	Contig211	1529
13657	Contig780	1732
13657	Contig495151	2547
13657	Contig1227	2741
13657	Contig1128	333
13657	Contig479	1472
13657	Contig700	460
13657	Contig1386	238
13657	Contig961	1447
13657	Contig395	924
13657	Contig1227	6998
13657	Contig803	143
13657	Contig798	102
13657	Contig1076	281
13657	Contig413	576
13657	Contig305	266
13667	LG04	17931101
13670	LG01	14512282
13685	LG04	23333871
13687	LG22	7811045
13735	LG17	10676122
13767	LG06	19760903
13785	LG06	23053136
13807	LG21	9927217
13818	LG19	3363995
13824	LG05	7381616
13829	LG12	14458151
13985	LG17	16104722
14001	LG17	9799718
14056	LG12	14560119
14167	LG07	13586597
14232	LG14	19519133
14235	Contig214000	19
14235	Contig334166	51
14236	LG12	7585873
14237	LG11	11382735
14242	LG11	11772267
14327	LG10	16029442
14433	LG16	5469843
14472	LG06	13814421
14515	LG02	20008510
14569	LG14	9863944
14636	LG21	12188543
14653	LG13	4157015
14671	LG01	1479433
14739	LG07	2190812
14773	LG17	9256844
14784	LG07	10222207
14821	LG23	9256424
14842	LG01	6995295
14848	LG03	22388590
14860	LG11	10016233
14866	LG19	20676911
14904	LG16	8976613
14939	LG07	1920113
14953	LG12	9217947
14957	LG17	13493825
15061	LG05	18752688
15071	LG02	4069318
15071	LG21	10154576
15117	LG17	15364987
15232	LG06	17761952
15370	LG23	14174674
15385	LG21	4651795
15392	LG20	19338639
15435	LG16	11565068
15453	LG05	2557039
15455	LG06	12144705
15565	LG22	2251327
15586	LG13	8918437
15623	LG04	21802383
15703	LG10	20050207
15742	LG11	15976883
15814	LG01	1775679
15814	LG04	23359565
15814	LG04	24266319
15814	LG06	22805912
15829	LG16	17769939
15854	LG22	7171978
15966	LG01	1092356
16064	LG16	4076000
16134	LG04	7434997
16169	LG14	7091287
16182	LG22	8063849
16293	LG07	18888768
16318	LG21	9268769
16344	LG04	16168486
16425	LG17	10859227
16514	LG14	11295559
16737	LG02	9046130
16764	LG05	1851209
16781	LG21	11061539
16788	Contig400699	673
16788	LG01	4696477
16809	LG09	17271119
16871	LG20	15181046
16872	LG19	3591095
16912	LG02	30801291
16926	LG01	1039085
16947	LG23	4363913
16972	LG20	13386331
17023	LG09	18140705
17031	LG18	15076770
17038	LG02	30982521
17043	LG08	5383755
17091	LG10	6068015
17092	LG22	179193
17094	LG18	8568028
17100	LG24	2778479
17110	LG20	13968971
17110	LG23	16084946
17110	LG18	19391565
17110	LG16	20148279
17110	LG19	25865788
17110	LG12	2838753
17110	LG17	26872851
17110	LG15	5264308
17110	LG13	2620376
17110	LG01	19709657
17110	LG07	10978722
17110	LG22	5490309
17218	LG04	2755872
17305	LG01	1989745
17315	LG10	19520164
17382	LG02	19712200
17385	LG03	11492266
17389	LG05	12612051
17394	LG24	4657400
17413	LG05	4241036
17464	LG18	4582420
17609	LG12	25111820
17626	LG13	26274443
17644	LG04	2872279
17652	LG10	2762806
17656	LG17	21178055
17658	LG12	24089791
17726	LG09	1868457
17782	LG07	22656451
17784	LG24	3372507
17790	LG17	8038406
17798	LG11	13285493
17818	LG06	19208671
17908	LG07	1252819
17936	LG04	23469997
17987	LG09	12813498
17989	LG14	16522868
17994	LG05	13788261
18018	LG07	4415460
18031	LG21	19856563
18049	LG17	18315740
18106	LG23	5381241
18196	LG05	1796740
18212	LG12	15244171
18220	LG22	4658066
18304	LG23	1698632
18323	LG12	16242000
18330	LG08	22828015
18357	LG01	19846876
18401	LG09	12988884
18419	LG07	15634147
18430	LG13	24149680
18435	LG24	11629764
18435	LG13	23007320
18468	LG06	13938623
18500	LG13	21441349
18581	LG19	22156353
18597	LG14	11813802
18611	LG23	2898426
18624	LG17	14828751
18669	LG03	14689629
18724	LG17	23770233
18726	LG18	8210419
18859	LG12	906113
18876	LG19	11871498
18894	LG19	10134817
18913	LG17	9472324
18931	LG01	1989823
19009	LG10	16203066
19050	LG20	5496286
19077	LG11	18440482
19079	LG22	7590896
19082	LG06	17357292
19101	LG03	11286813
19109	LG05	13133113
19161	LG08	21675717
19184	LG10	2295779
19187	LG01	17383034
19221	LG23	11060707
19289	LG12	6754158
19300	LG09	9464177
19310	LG19	15584073
19410	LG11	1681765
19455	LG03	3927780
19459	LG11	10955552
19467	LG10	15026672
19577	LG11	3531339
19724	LG18	6042257
19859	LG03	14993218
19939	LG15	7181539
