gid	chrom	start	end	gstart	gend	gpos
LG03_1	LG03	7575001	7645000	65167265	65237264	65202264.5
LG04_1	LG04	11540001	11670000	92254288	92384287	92319287.5
LG07_1	LG07	18215001	18315000	169052101	169152100	169102100.5
LG08_1	LG08	11355001	11440000	186292856	186377855	186335355.5
LG08_2	LG08	12955001	13060000	187892856	187997855	187945355.5
LG08_3	LG08	14805001	14890000	189742856	189827855	189785355.5
LG08_4	LG08	14955001	15070000	189892856	190007855	189950355.5
LG09_1	LG09	14535001	14815000	216473354	216753353	216613353.5
LG09_2	LG09	17820001	17925000	219758354	219863353	219810853.5
LG09_3	LG09	21005001	21080000	222943354	223018353	222980853.5
LG12_1	LG12	15030001	15140000	287352422	287462421	287407421.5
LG12_2	LG12	15160001	15210000	287482422	287532421	287507421.5
LG12_3	LG12	20135001	20300000	292457422	292622421	292539921.5
LG12_4	LG12	22170001	22280000	294492422	294602421	294547421.5
LG17_1	LG17	22505001	22645000	415851270	415991269	415921269.5
LG19_1	LG19	2360001	2445000	443909265	443994264	443951764.5
LG23_1	LG23	14635001	14685000	542019333	542069332	542044332.5
LG23_2	LG23	15455001	15530000	542839333	542914332	542876832.5
